 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 29, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Rubidium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5320E+00 g/cm3 = 1.0794E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Rb     37    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 350.00 MeV   2.077E-03  4.894E-07  680.63 mm    28.66 mm    38.51 mm  
 375.00 MeV   2.009E-03  4.595E-07  760.04 mm    31.32 mm    42.62 mm  
 400.00 MeV   1.949E-03  4.332E-07  842.03 mm    33.95 mm    46.82 mm  
 450.00 MeV   1.850E-03  3.889E-07    1.01 m     42.67 mm    55.42 mm  
 500.00 MeV   1.771E-03  3.532E-07    1.19 m     50.63 mm    64.23 mm  
 550.00 MeV   1.708E-03  3.236E-07    1.38 m     58.10 mm    73.19 mm  
 600.00 MeV   1.656E-03  2.988E-07    1.57 m     65.22 mm    82.27 mm  
 650.00 MeV   1.613E-03  2.777E-07    1.77 m     72.05 mm    91.41 mm  
 700.00 MeV   1.577E-03  2.594E-07    1.97 m     78.64 mm   100.60 mm  
 800.00 MeV   1.520E-03  2.295E-07    2.39 m    100.31 mm   119.00 mm  
 900.00 MeV   1.478E-03  2.059E-07    2.83 m    119.29 mm   137.31 mm  
   1.00 GeV   1.447E-03  1.869E-07    3.27 m    136.52 mm   155.44 mm  
   1.10 GeV   1.424E-03  1.712E-07    3.73 m    152.47 mm   173.31 mm  
   1.20 GeV   1.406E-03  1.580E-07    4.18 m    167.39 mm   190.88 mm  
   1.30 GeV   1.392E-03  1.468E-07    4.65 m    181.47 mm   208.13 mm  
   1.40 GeV   1.381E-03  1.371E-07    5.12 m    194.82 mm   225.04 mm  
   1.50 GeV   1.373E-03  1.286E-07    5.59 m    207.53 mm   241.60 mm  
   1.60 GeV   1.367E-03  1.212E-07    6.07 m    219.69 mm   257.81 mm  
   1.70 GeV   1.363E-03  1.146E-07    6.54 m    231.33 mm   273.68 mm  
   1.80 GeV   1.360E-03  1.087E-07    7.02 m    242.52 mm   289.21 mm  
   2.00 GeV   1.357E-03  9.859E-08    7.98 m    280.46 mm   319.29 mm  
   2.25 GeV   1.357E-03  8.841E-08    9.18 m    330.67 mm   355.14 mm  
   2.50 GeV   1.359E-03  8.020E-08   10.38 m    374.25 mm   389.20 mm  
   2.75 GeV   1.364E-03  7.342E-08   11.57 m    413.15 mm   421.61 mm  
   3.00 GeV   1.370E-03  6.773E-08   12.77 m    448.51 mm   452.53 mm  
   3.25 GeV   1.376E-03  6.289E-08   13.95 m    481.06 mm   482.08 mm  
   3.50 GeV   1.383E-03  5.871E-08   15.13 m    511.31 mm   510.37 mm  
   3.75 GeV   1.390E-03  5.507E-08   16.31 m    539.63 mm   537.53 mm  
   4.00 GeV   1.398E-03  5.187E-08   17.48 m    566.29 mm   563.63 mm  
   4.50 GeV   1.413E-03  4.649E-08   19.79 m    657.62 mm   613.04 mm  
   5.00 GeV   1.427E-03  4.216E-08   22.09 m    736.26 mm   659.15 mm  
   5.50 GeV   1.441E-03  3.858E-08   24.36 m    806.01 mm   702.42 mm  
   6.00 GeV   1.454E-03  3.558E-08   26.62 m    869.07 mm   743.23 mm  
   6.50 GeV   1.467E-03  3.303E-08   28.85 m    926.89 mm   781.87 mm  
   7.00 GeV   1.479E-03  3.082E-08   31.06 m    980.45 mm   818.60 mm  
   8.00 GeV   1.501E-03  2.722E-08   35.44 m      1.16 m    887.13 mm  
   9.00 GeV   1.521E-03  2.439E-08   39.75 m      1.32 m    950.13 mm  
  10.00 GeV   1.539E-03  2.211E-08   44.01 m      1.45 m      1.01 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.5319E+01                 eV / Angstrom 
  1.5319E+02                keV / micron   
  1.5319E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.4192E+02                 eV / (1E15 atoms/cm2)
  1.3530E+02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
